"Sm.N5",62,130,130,"Major"
"Sn.M3",50,714,756,"Minor"
"Sn.M5",50,485,494,"Major"
"Sr.L1",38,2216,,"Minor"
"Sr.L3",38,1940,2007,"Minor"
"Sr.M3",38,269,280,"Minor"
"Sr.M5",38,134,134,"Major"
"Ta.M5",73,1735,1793,"Major"
"Tb.M3",65,1611,1768,"Minor"
"Tb.M5",65,1241,1275,"Major"
"Tb.N5",65,148,148,"Major"
"Te.M3",52,819,870,"Minor"
"Te.M5",52,572,582,"Major"
"Th.M5",90,3332,3491,"Major"
"Th.O5",90,83,83,"Major"
"Ti.L1",22,564,,"Minor"
"Ti.L3",22,456,462,"Major"
"Ti.M3",22,47,47,"Major"
"Tl.M5",81,2389,2485,"Major"
"Tm.M3",69,1884,2090,"Minor"
"Tm.M5",69,1468,1515,"Major"
"Tm.N5",69,177,177,"Major"
"U.M5",92,3552,3728,"Major"
"U.O5",92,96,96,"Major"
"V.L1",23,628,,"Minor"
"V.L3",23,513,521,"Major"
"V.M3",23,47,47,"Major"
"W.M5",74,1809,1872,"Major"
"Xe.M5",54,672,685,"Major"
"Yb.M3",70,1950,2173,"Minor"
"Yb.M5",70,1528,1576,"Major"
"Yb.N5",70,184,184,"Major"
"Y.L1",39,2372,,"Minor"
"Y.L3",39,2080,2155,"Major"
"Y.M3",39,300,312,"Minor"
"Y.M5",39,160,160,"Major"
"Zn.L1",30,1194,,"Minor"
"Zn.L3",30,1020,1043,"Major"
"Zn.M3",30,87,87,"Minor"
"Zr.L1",40,2532,,"Minor"
"Zr.L3",40,2222,2307,"Major"
"Zr.M3",40,330,344,"Minor"
"Zr.M5",40,181,181,"Major"
